callsign,name,frequency_mhz,valid_to,protected_to,registered_at,updated_at
OK0A,Praha 1,145.6,1785405600,1801220400,1754301600,1785405600
OK0B,Brno Hub,433.5,1787997600,1803812400,1756029600,1785578400
OK0C,Ostrava,145.65,1790157600,1805972400,1758621600,1785837600
OK0D,Plzeň RPT,439.0,1790762400,1806573600,1759485600,1785924000
OK0E,Liberec,145.7,1792749600,1808560800,1761213600,1786096800
OK0F,České Budějovice,433.55,1793358000,1809165600,1762081200,1786183200
OK0G,Hradec Králové,145.75,1795777200,1811584800,1764673200,1786442400
OK0H,Olomouc,439.05,1796209200,1812016800,1765537200,1786528800
OK0I,Ústí nad Labem,145.8,1799233200,1815040800,1767265200,1786701600
OK0J,Zlín Digi,433.6,1801825200,1817632800,1771585200,1787133600
OK0K,Pardubice,145.55,1806145200,1821952800,1773313200,1787306400
